TreeDepth,PID,Process,Offset,HandleValue,Type,GrantedAccess,Name
0,2168,taskhostex.exe,0x86915cb8,0x2f0,File,0x12019f,\\Device\\HarddiskVolume2\\Users\\Mark\\AppData\\Local\\Microsoft\\Windows\\WebCache\\WebCacheV01.dat
0,2168,taskhostex.exe,0x86373030,0x2f4,Event,0x1f0003,-
0,2168,taskhostex.exe,0x868a0240,0x2f8,Event,0x1f0003,-
0,2168,taskhostex.exe,0x86b2c800,0x2fc,Thread,0x1fffff,Tid 3152 Pid 2168
0,2168,taskhostex.exe,0x86bb8ee0,0x300,WaitCompletionPacket,0x1,-
0,2168,taskhostex.exe,0x86b2c800,0x304,Thread,0x840,Tid 3152 Pid 2168
0,2168,taskhostex.exe,0x868abb50,0x308,Event,0x1f0003,-
0,2168,taskhostex.exe,0x8692bbc0,0x30c,Thread,0x840,Tid 3460 Pid 2168
0,2168,taskhostex.exe,0x86989d38,0x310,Event,0x1f0003,-
0,2168,taskhostex.exe,0x86956708,0x314,ALPC Port,0x1f0001,-
0,2168,taskhostex.exe,0x8687bba0,0x318,Semaphore,0x1f0003,-
0,2168,taskhostex.exe,0x84966430,0x31c,File,0x12019f,\\Device\\HarddiskVolume2\\Users\\Mark\\AppData\\Local\\Microsoft\\Windows\\WebCache\\V01tmp.log
0,2168,taskhostex.exe,0x86899ef0,0x320,ALPC Port,0x1f0001,-
0,2168,taskhostex.exe,0x8692bbc0,0x324,Thread,0x1fffff,Tid 3460 Pid 2168
0,2168,taskhostex.exe,0x868bc230,0x328,ALPC Port,0x1f0001,-
0,2168,taskhostex.exe,0x869f5cd8,0x32c,Event,0x1f0003,-
0,2168,taskhostex.exe,0x868b3528,0x330,EtwRegistration,0x804,-
0,2168,taskhostex.exe,0x868b4f20,0x334,File,0x120089,\\Device\\DeviceApi\\CMApi
0,2168,taskhostex.exe,0x868b3678,0x338,Event,0x1f0003,-
0,2168,taskhostex.exe,0x868b34c8,0x33c,EtwRegistration,0x804,-
0,2168,taskhostex.exe,0x868b9c08,0x340,EtwRegistration,0x804,-
0,2168,taskhostex.exe,0x868b82c8,0x344,Event,0x1f0003,-
0,2168,taskhostex.exe,0x868b0f80,0x348,File,0x120089,\\Device\\HarddiskVolume2\\Windows\\System32\\en-US\\winmm.dll.mui
